name,hp,attack,defense,sp_attack,sp_defense,speed,catch_stat
Phantump,43,70,48,50,60,38,120
Trevenant,85,110,76,65,82,56,60
Pumpkaboo,49,66,70,44,55,51,120
Gourgeist,65,90,122,58,75,84,60
Bergmite,55,69,85,32,35,28,190
Avalugg,95,117,184,44,46,28,55
Noibat,40,30,35,45,40,55,190
Noivern,85,70,80,97,80,123,45
Xerneas,126,131,95,131,98,99,45
Yveltal,126,131,95,131,98,99,45
Zygarde,108,100,121,81,95,95,3
Diancie,50,100,150,100,150,50,3
Hoopa,80,110,60,150,130,70,3
Volcanion,80,110,120,130,90,70,3
Rowlet,68,55,55,50,50,42,45
Dartrix,78,75,75,70,70,52,45
Decidueye,78,107,75,100,100,70,45
Litten,45,65,40,60,40,70,45
Torracat,65,85,50,80,50,90,45
Incineroar,95,115,90,80,90,60,45
Popplio,50,54,54,66,56,40,45
Brionne,60,69,69,91,81,50,45
Primarina,80,74,74,126,116,60,45
Pikipek,35,75,30,30,30,65,255
Trumbeak,55,85,50,40,50,75,120
Toucannon,80,120,75,75,75,60,45
Yungoos,48,70,30,30,30,45,255
Gumshoos,88,110,60,55,60,45,127
Grubbin,47,62,45,55,45,46,255
Charjabug,57,82,95,55,75,36,120
Vikavolt,77,70,90,145,75,43,45
Crabrawler,47,82,57,42,47,63,225
Crabominable,97,132,77,62,67,43,60
Oricorio,75,70,70,98,70,93,45
Cutiefly,40,45,40,55,40,84,190
Ribombee,60,55,60,95,70,124,75
Rockruff,45,65,40,30,40,60,190
Lycanroc,75,115,65,55,65,112,90
Wishiwashi,45,20,20,25,25,40,60
Mareanie,50,53,62,43,52,45,190
Toxapex,50,63,152,53,142,35,75
Mudbray,70,100,70,45,55,45,190
Mudsdale,100,125,100,55,85,35,60
Dewpider,38,40,52,40,72,27,200
Araquanid,68,70,92,50,132,42,100
Fomantis,40,55,35,50,35,35,190
Lurantis,70,105,90,80,90,45,75
Morelull,40,35,55,65,75,15,190
Shiinotic,60,45,80,90,100,30,75
Salandit,48,44,40,71,40,77,120
Salazzle,68,64,60,111,60,117,45
Stufful,70,75,50,45,50,50,140
Bewear,120,125,80,55,60,60,70
Bounsweet,42,30,38,30,38,32,235
Steenee,52,40,48,40,48,62,120
Tsareena,72,120,98,50,98,72,45
Comfey,51,52,90,82,110,100,60
Oranguru,90,60,80,90,110,60,45
Passimian,100,120,90,40,60,80,45
Wimpod,25,35,40,20,30,80,90
Golisopod,75,125,140,60,90,40,45
Sandygast,55,55,80,70,45,15,140
Palossand,85,75,110,100,75,35,60
Pyukumuku,55,60,130,30,130,5,60
Type: Null,95,95,95,95,95,59,3
Silvally,95,95,95,95,95,95,3
Minior,60,60,100,60,100,60,30
Komala,65,115,65,75,95,65,45
Turtonator,60,78,135,91,85,36,70
Togedemaru,65,98,63,40,73,96,180
Mimikyu,55,90,80,50,105,96,45
Bruxish,68,105,70,70,70,92,80
Drampa,78,60,85,135,91,36,70
Dhelmise,70,131,100,86,90,40,25
Jangmo-o,45,55,65,45,45,45,45
Hakamo-o,55,75,90,65,70,65,45
Kommo-o,75,110,125,100,105,85,45
Tapu Koko,70,115,85,95,75,130,3
Tapu Lele,70,85,75,130,115,95,3
Tapu Bulu,70,130,115,85,95,75,3
Tapu Fini,70,75,115,95,130,85,3
Cosmog,43,29,31,29,31,37,3
Cosmoem,43,29,131,29,131,37,3
Solgaleo,137,137,107,113,89,97,3
Lunala,137,113,89,137,107,97,3
Nihilego,109,53,47,127,131,103,45
Buzzwole,107,139,139,53,53,79,45
Pheromosa,71,137,37,137,37,151,45
Xurkitree,83,89,71,173,71,83,45
Celesteela,97,101,103,107,101,61,45
Kartana,59,181,131,59,31,109,45
Guzzlord,223,101,53,97,53,43,45
Necrozma,97,107,101,127,89,79,3
Magearna,80,95,115,130,115,65,3
Marshadow,90,125,80,90,90,125,3
Poipole,67,73,67,73,67,73,45
Naganadel,73,73,73,127,73,121,45
Stakataka,61,131,211,53,101,13,30
Blacephalon,53,127,53,151,79,107,30
Zeraora,88,112,75,102,80,143,3
Meltan,46,65,65,55,35,34,3
Melmetal,135,143,143,80,65,34,3
Grookey,50,65,50,40,40,65,45
Thwackey,70,85,70,55,60,80,45
Rillaboom,100,125,90,60,70,85,45
Scorbunny,50,71,40,40,40,69,45
Raboot,65,86,60,55,60,94,45
Cinderace,80,116,75,65,75,119,45
Sobble,50,40,40,70,40,70,45
Drizzile,65,60,55,95,55,90,45
Inteleon,70,85,65,125,65,120,45
Skwovet,70,55,55,35,35,25,255
Greedent,120,95,95,55,75,20,90
Rookidee,38,47,35,33,35,57,255
Corvisquire,68,67,55,43,55,77,120
Corviknight,98,87,105,53,85,67,45
Blipbug,25,20,20,25,45,45,255
Dottler,50,35,80,50,90,30,120
Orbeetle,60,45,110,80,120,90,45
Nickit,40,28,28,47,52,50,255
Thievul,70,58,58,87,92,90,127
Gossifleur,40,40,60,40,60,10,190
Eldegoss,60,50,90,80,120,60,75
Wooloo,42,40,55,40,45,48,255
Dubwool,72,80,100,60,90,88,127
Chewtle,50,64,50,38,38,44,255
Drednaw,90,115,90,48,68,74,75
Yamper,59,45,50,40,50,26,255
Boltund,69,90,60,90,60,121,45
Rolycoly,30,40,50,40,50,30,255
Carkol,80,60,90,60,70,50,120
Coalossal,110,80,120,80,90,30,45
Applin,40,40,80,40,40,20,255
Flapple,70,110,80,95,60,70,45
Appletun,110,85,80,100,80,30,45
Silicobra,52,57,75,35,50,46,255
Sandaconda,72,107,125,65,70,71,120
Cramorant,70,85,55,85,95,85,45
Arrokuda,41,63,40,40,30,66,255
Barraskewda,61,123,60,60,50,136,60
Toxel,40,38,35,54,35,40,75
Toxtricity,75,98,70,114,70,75,45
Sizzlipede,50,65,45,50,50,45,190
Centiskorch,100,115,65,90,90,65,75
Clobbopus,50,68,60,50,50,32,180
Grapploct,80,118,90,70,80,42,45
Sinistea,40,45,45,74,54,50,120
Polteageist,60,65,65,134,114,70,60
Hatenna,42,30,45,56,53,39,235
Hattrem,57,40,65,86,73,49,120
Hatterene,57,90,95,136,103,29,45
Impidimp,45,45,30,55,40,50,255
Morgrem,65,60,45,75,55,70,120
Grimmsnarl,95,120,65,95,75,60,45
Obstagoon,93,90,101,60,81,95,45
Perrserker,70,110,100,50,60,50,90
Cursola,60,95,50,145,130,30,30
Sirfetch'd,62,135,95,68,82,65,45
Mr. Rime,80,85,75,110,100,70,45
Runerigus,58,95,145,50,105,30,90
Milcery,45,40,40,50,61,34,200
Alcremie,65,60,75,110,121,64,100
Falinks,65,100,100,70,60,75,45
Pincurchin,48,101,95,91,85,15,75
Snom,30,25,35,45,30,20,190
Frosmoth,70,65,60,125,90,65,75
Stonjourner,100,125,135,20,20,70,60
Eiscue,75,80,110,65,90,50,60
Indeedee,60,65,55,105,95,95,30
Morpeko,58,95,58,70,58,97,180
Cufant,72,80,49,40,49,40,190
Copperajah,122,130,69,80,69,30,90
Dracozolt,90,100,90,80,70,75,45
Arctozolt,90,100,90,90,80,55,45
Dracovish,90,90,100,70,80,75,45
Arctovish,90,90,100,80,90,55,45
Duraludon,70,95,115,120,50,85,45
Dreepy,28,60,30,40,30,82,45
Drakloak,68,80,50,60,50,102,45
Dragapult,88,120,75,100,75,142,45
Zacian,92,130,115,80,115,138,10
Zamazenta,92,130,115,80,115,138,10
Eternatus,140,85,95,145,95,130,255
Kubfu,60,90,60,53,50,72,3
Urshifu,100,130,100,63,60,97,3
Zarude,105,120,105,70,95,105,3
Regieleki,80,100,50,100,50,200,3
Regidrago,200,100,50,100,50,80,3
Glastrier,100,145,130,65,110,30,3
Spectrier,100,65,60,145,80,130,3
Calyrex,100,80,80,80,80,80,3
Wyrdeer,103,105,72,105,75,65,45
Kleavor,70,135,95,45,70,85,15
Ursaluna,130,140,105,45,80,50,20
Basculegion,120,112,65,80,75,78,45
Sneasler,80,130,60,40,80,120,20
Overqwil,85,115,95,65,65,85,45
Enamorus,74,115,70,135,80,106,3
Sprigatito,40,61,54,45,45,65,45
Floragato,61,80,63,60,63,83,45
Meowscarada,76,110,70,81,70,123,45
Fuecoco,67,45,59,63,40,36,45
Crocalor,81,55,78,90,58,49,45
Skeledirge,104,75,100,110,75,66,45
Quaxly,55,65,45,50,45,50,45
Quaxwell,70,85,65,65,60,65,45
Quaquaval,85,120,80,85,75,85,45
Lechonk,54,45,40,35,45,35,255
Oinkologne,110,100,75,59,80,65,100
Tarountula,35,41,45,29,40,20,255
Spidops,60,79,92,52,86,35,120
Nymble,33,46,40,21,25,45,190
Lokix,71,102,78,52,55,92,30
Pawmi,45,50,20,40,25,60,190
Pawmo,60,75,40,50,40,85,80
Pawmot,70,115,70,70,60,105,45
Tandemaus,50,50,45,40,45,75,150
Maushold,74,75,70,65,75,111,75
Fidough,37,55,70,30,55,65,190
Dachsbun,57,80,115,50,80,95,90
Smoliv,41,35,45,58,51,30,255
Dolliv,52,53,60,78,78,33,120
Arboliva,78,69,90,125,109,39,45
Squawkabilly,82,96,51,45,51,92,190
Nacli,55,55,75,35,35,25,255
Naclstack,60,60,100,35,65,35,120
Garganacl,100,100,130,45,90,35,45
Charcadet,40,50,40,50,40,35,90
Armarouge,85,60,100,125,80,75,25
Ceruledge,75,125,80,60,100,85,25
Tadbulb,61,31,41,59,35,45,190
Bellibolt,109,64,91,103,83,45,50
Wattrel,40,40,35,55,40,70,180
Kilowattrel,70,70,60,105,60,125,90
Maschiff,60,78,60,40,51,51,150
Mabosstiff,80,120,90,60,70,85,75
Shroodle,40,65,35,40,35,75,190
Grafaiai,63,95,65,80,72,110,90
Bramblin,40,65,30,45,35,60,190
Brambleghast,55,115,70,80,70,90,45
Toedscool,40,40,35,50,100,70,190
Toedscruel,80,70,65,80,120,100,90
Klawf,70,100,115,35,55,75,120
Capsakid,50,62,40,62,40,50,190
Scovillain,65,108,65,108,65,75,75
Rellor,41,50,60,31,58,30,190
Rabsca,75,50,85,115,100,45,45
Flittle,30,35,30,55,30,75,120
Espathra,95,60,60,101,60,105,60
Tinkatink,50,45,45,35,64,58,190
Tinkatuff,65,55,55,45,82,78,90
Tinkaton,85,75,77,70,105,94,45
Wiglett,10,55,25,35,25,95,255
Wugtrio,35,100,50,50,70,120,50
Bombirdier,70,103,85,60,85,82,25
Finizen,70,45,40,45,40,75,200
Palafin,100,70,72,53,62,100,45
Varoom,45,70,63,30,45,47,190
Revavroom,80,119,90,54,67,90,75
Cyclizar,70,95,65,85,65,121,190
Orthworm,70,85,145,60,55,65,25
Glimmet,48,35,42,105,60,60,70
Glimmora,83,55,90,130,81,86,25
Greavard,50,61,60,30,55,34,120
Houndstone,72,101,100,50,97,68,60
Flamigo,82,115,74,75,64,90,100
Cetoddle,108,68,45,30,40,43,150
Cetitan,170,113,65,45,55,73,50
Veluza,90,102,73,78,65,70,100
Dondozo,150,100,115,65,65,35,25
Tatsugiri,68,50,60,120,95,82,100
Annihilape,110,115,80,50,90,90,45
Clodsire,130,75,60,45,100,20,90
Farigiraf,120,90,70,110,70,60,45
Dudunsparce,125,100,80,85,75,55,45
Kingambit,100,135,120,60,85,50,25
Great Tusk,115,131,131,53,53,87,30
Scream Tail,115,65,99,65,115,111,50
Brute Bonnet,111,127,99,79,99,55,50
Flutter Mane,55,55,55,135,135,135,30
Slither Wing,85,135,79,85,105,81,30
Sandy Shocks,85,81,97,121,85,101,30
Iron Treads,90,112,120,72,70,106,30
Iron Bundle,56,80,114,124,60,136,50
Iron Hands,154,140,108,50,68,50,50
Iron Jugulis,94,80,86,122,80,108,30
Iron Moth,80,70,60,140,110,110,30
Iron Thorns,100,134,110,70,84,72,30
Frigibax,65,75,45,35,45,55,45
Arctibax,90,95,66,45,65,62,25
Baxcalibur,115,145,92,75,86,87,10
Gimmighoul,45,30,70,75,70,10,45
Gholdengo,87,60,95,133,91,84,45
Wo-Chien,85,90,100,100,135,70,6
Chien-Pao,80,130,80,90,65,135,6
Ting-Lu,165,110,130,50,80,45,6
Chi-Yu,55,80,80,145,120,100,6
Roaring Moon,105,139,71,55,101,119,10
Iron Valiant,74,130,90,120,60,116,10
Koraidon,100,135,115,85,100,135,3
Miraidon,100,85,100,135,115,135,3
Walking Wake,99,83,91,125,83,109,5
Iron Leaves,90,130,88,70,108,104,5
Dipplin,80,80,110,95,80,40,45
Poltchageist,40,45,45,74,54,50,120
Sinistcha,71,60,106,121,80,70,60
Okidogi,88,128,115,58,86,80,3
Munkidori,88,75,66,130,90,106,3
Fezandipiti,88,91,82,70,125,99,3
Ogerpon,80,120,84,60,96,110,5
Archaludon,90,105,130,125,65,85,10
Hydrapple,106,80,110,120,80,44,10
Gouging Fire,105,115,121,65,93,91,10
Raging Bolt,125,73,91,137,89,75,10
Iron Boulder,90,120,80,68,108,124,10
Iron Crown,90,72,100,122,108,98,10
Terapagos,90,65,85,65,85,60,255
Pecharunt,88,88,160,88,88,88,3
